file	raw_width	raw_height	display_width	display_height	exif_orientation	brightness	center_brightness	contrast	sharpness	underexposed_pct	overexposed_pct	flags
1504-07-Joltik.jpg	4080	3072	3072	4080	6	66.46	66.23	48.69	26.1	9.29	0.11	
1505-07-Joltik.jpg	4080	3072	3072	4080	6	56.43	57.77	47.18	23.51	17.1	0.01	
1506-07-Joltik.jpg	4080	3072	3072	4080	6	58.15	59.66	48.46	25.31	16.54	0.01	
1601-07-Stunfisk.jpg	4080	3072	3072	4080	6	56.45	58.07	46.8	19.24	17.99	0.01	
1602-07-Stunfisk.jpg	4080	3072	3072	4080	6	56.4	58.1	47.26	18.82	18.02	0.01	
1603-07-Stunfisk.jpg	4080	3072	3072	4080	6	61.99	62.37	47.78	24.29	13.85	0.06	
1604-07-Stunfisk.jpg	4080	3072	3072	4080	6	55.98	57.62	47.03	22.84	18.61	0.02	
1605-07-Stunfisk.jpg	4080	3072	3072	4080	6	56.24	57.78	46.87	18.66	18.12	0.01	
1606-07-Stunfisk.jpg	4080	3072	3072	4080	6	56.53	58.3	47.51	22.29	17.65	0.01	
1701-07-Braviary.jpg	4080	3072	3072	4080	6	58.76	61.33	50.24	24.88	16.96	0.04	
1702-07-Braviary.jpg	4080	3072	3072	4080	6	59.75	61.79	50.5	24.67	16.07	0.1	
1703-07-Braviary.jpg	4080	3072	3072	4080	6	56.4	58.96	48.62	29.84	18.94	0.13	
1704-07-Braviary.jpg	4080	3072	3072	4080	6	59.12	61.69	50.07	30.93	16.49	0.2	
1705-07-Braviary.jpg	4080	3072	3072	4080	6	58.44	60.32	49.42	26.32	16.76	0.01	
1706-07-Braviary.jpg	4080	3072	3072	4080	6	56.79	58.45	48.38	26.93	17.12	0.01	
1801-07-Vivillon.jpg	4080	3072	3072	4080	6	61.51	60.65	48.79	21.99	13.6	0.01	
1802-07-Vivillon.jpg	4080	3072	3072	4080	6	61.44	60.02	48.19	24.58	13.58	0.0	
1803-07-Vivillon.jpg	4080	3072	3072	4080	6	61.67	61.16	47.67	28.11	12.6	0.09	
1804-07-Vivillon.jpg	4080	3072	3072	4080	6	67.99	64.51	46.8	25.89	7.7	0.06	
1805-07-Vivillon.jpg	4080	3072	3072	4080	6	61.05	59.7	47.63	23.14	13.21	0.0	
1806-07-Vivillon.jpg	4080	3072	3072	4080	6	63.47	60.97	48.45	24.65	12.13	0.01	
1901-07-Raboot.jpg	4080	3072	3072	4080	6	58.2	57.34	47.37	21.13	15.4	0.02	
1902-07-Raboot.jpg	4080	3072	3072	4080	6	58.91	58.49	47.6	23.29	13.85	0.02	
1903-07-Raboot.jpg	4080	3072	3072	4080	6	58.74	58.06	47.12	28.78	15.84	0.08	
1904-07-Raboot.jpg	4080	3072	3072	4080	6	62.66	61.29	47.58	25.62	11.61	0.15	
1905-07-Raboot.jpg	4080	3072	3072	4080	6	57.99	57.14	47.02	21.11	15.77	0.01	
2001-07-Applin.jpg	4080	3072	3072	4080	6	57.16	57.14	46.85	25.41	16.62	0.02	
2002-07-Applin.jpg	4080	3072	3072	4080	6	63.72	62.48	48.48	27.09	11.93	0.02	
2003-07-Applin.jpg	4080	3072	3072	4080	6	54.93	56.51	46.5	29.06	18.68	0.06	
2004-07-Applin.jpg	4080	3072	3072	4080	6	54.95	56.09	46.34	25.81	18.19	0.03	
2005-07-Applin.jpg	4080	3072	3072	4080	6	63.76	61.99	48.18	22.09	12.09	0.02	
2006-07-Applin.jpg	4080	3072	3072	4080	6	58.12	57.51	46.94	25.48	15.99	0.01	
2101-07-Milcery.jpg	4080	3072	3072	4080	6	70.34	66.13	49.75	18.51	8.67	0.0	
2102-07-Milcery.jpg	4080	3072	3072	4080	6	69.74	65.68	50.54	18.53	9.45	0.0	
2103-07-Milcery.jpg	4080	3072	3072	4080	6	70.77	66.43	47.89	25.57	6.62	0.08	
2104-07-Milcery.jpg	4080	3072	3072	4080	6	73.15	68.38	48.21	19.96	5.8	0.09	
2105-07-Milcery.jpg	4080	3072	3072	4080	6	68.33	63.77	49.16	20.3	9.33	0.0	
2106-07-Milcery.jpg	4080	3072	3072	4080	6	71.43	65.67	48.42	23.15	6.94	0.0	
2201-07-Floragato.jpg	4080	3072	3072	4080	6	59.92	58.16	47.37	20.8	14.93	0.01	
2202-07-Floragato.jpg	4080	3072	3072	4080	6	66.02	62.88	47.99	25.93	10.17	0.01	
2203-07-Floragato.jpg	4080	3072	3072	4080	6	54.91	55.87	46.18	26.34	18.0	0.06	
2204-07-Floragato.jpg	4080	3072	3072	4080	6	55.89	56.15	46.32	26.37	16.72	0.09	
2205-07-Floragato.jpg	4080	3072	3072	4080	6	75.09	69.41	47.87	23.25	4.92	0.0	
2301-07-Crocalor.jpg	4080	3072	3072	4080	6	56.26	55.74	46.67	22.82	17.0	0.01	
2302-07-Crocalor.jpg	4080	3072	3072	4080	6	55.75	55.61	46.6	23.84	17.14	0.01	
2303-07-Crocalor.jpg	4080	3072	3072	4080	6	56.41	56.76	46.38	29.01	17.09	0.05	
2304-07-Crocalor.jpg	4080	3072	3072	4080	6	59.4	59.11	47.1	26.08	13.94	0.13	
2305-07-Crocalor.jpg	4080	3072	3072	4080	6	59.79	57.25	46.65	25.34	14.19	0.0	
2306-07-Crocalor.jpg	4080	3072	3072	4080	6	59.43	56.87	46.98	25.65	15.62	0.0	
2401-07-Quaxwell.jpg	4080	3072	3072	4080	6	61.36	58.65	48.07	23.32	14.1	0.0	
2402-07-Quaxwell.jpg	4080	3072	3072	4080	6	58.0	57.38	48.04	21.56	16.64	0.01	
2403-07-Quaxwell.jpg	4080	3072	3072	4080	6	54.05	54.03	46.11	29.22	19.72	0.07	
2404-07-Quaxwell.jpg	4080	3072	3072	4080	6	60.87	58.5	46.93	24.64	14.08	0.08	
2405-07-Quaxwell.jpg	4080	3072	3072	4080	6	58.11	55.92	47.64	24.66	16.69	0.0	
2406-07-Quaxwell.jpg	4080	3072	3072	4080	6	63.79	59.46	48.08	25.52	12.71	0.01	
2501-07-Ceruledge.jpg	4080	3072	3072	4080	6	64.71	60.12	47.31	23.1	11.29	0.01	
2502-07-Ceruledge.jpg	4080	3072	3072	4080	6	58.29	56.08	46.92	24.07	15.04	0.01	
2503-07-Ceruledge.jpg	4080	3072	3072	4080	6	58.1	56.55	46.75	30.34	16.07	0.05	
2504-07-Ceruledge.jpg	4080	3072	3072	4080	6	57.39	56.05	46.38	27.29	15.79	0.07	
2505-07-Ceruledge.jpg	4080	3072	3072	4080	6	63.1	59.13	47.42	22.66	12.88	0.01	
2506-07-Ceruledge.jpg	4080	3072	3072	4080	6	58.19	54.73	46.93	26.14	16.94	0.0	
2601-07-Wattrel.jpg	4080	3072	3072	4080	6	57.13	59.88	49.0	20.87	17.22	0.02	
2602-07-Wattrel.jpg	4080	3072	3072	4080	6	56.84	59.46	48.87	20.96	17.05	0.01	
2603-07-Wattrel.jpg	4080	3072	3072	4080	6	58.71	61.22	49.23	27.25	16.47	0.11	
2604-07-Wattrel.jpg	4080	3072	3072	4080	6	57.43	59.92	48.51	24.8	17.11	0.09	
